trial_id,model,reasoning_level,seed,probe_on_target,probe_is_target,response,predicted,outcome,reasoning_tokens,cost,error
8c397af3,qwen/qwen3.8-27b,minimal,5,True,True,"

True",True,hit,659,0.00885296,
c2a94d84,qwen/qwen3.8-27b,minimal,0,True,True,"

True",True,hit,817,0.0067608,
522101dc,qwen/qwen3.8-27b,minimal,7,True,True,"

True",True,hit,624,0.0085126,
dbe765fe,qwen/qwen3.8-27b,minimal,8,True,True,"

False",False,miss,217,0.0062342,
a0c86838,qwen/qwen3.8-27b,minimal,6,True,True,"

True",True,hit,205,0.0062342,
c582a0c4,qwen/qwen3.8-27b,minimal,11,False,False,"

False",False,correct_rejection,666,0.00895836,
7667c215,qwen/qwen3.8-27b,minimal,10,False,False,True,True,false_alarm,1540,0.0111067,
6b334675,qwen/qwen3.8-27b,minimal,9,True,True,True,True,hit,1647,0.0114598,
5298e7e3,qwen/qwen3.8-27b,minimal,15,False,False,"

True",True,false_alarm,216,0.0062342,
a0da291f,qwen/qwen3.8-27b,minimal,14,False,False,"

False",False,correct_rejection,0,0.0081168,
360e5630,qwen/qwen3.8-27b,minimal,18,False,False,"

True",True,false_alarm,206,0.0062342,
8b06a955,qwen/qwen3.8-27b,minimal,13,False,False,False,False,correct_rejection,1717,0.0116908,
bed83875,qwen/qwen3.8-27b,minimal,19,False,False,"

True",True,false_alarm,223,0.0062342,
c6256f18,qwen/qwen3.8-27b,minimal,16,False,False,True,True,false_alarm,1729,0.0117304,
e6f68774,qwen/qwen3.8-27b,minimal,17,False,False,"

False",False,correct_rejection,1066,0.0088294,
af7d2ab9,qwen/qwen3.8-27b,low,0,True,True,"

True",True,hit,0,0.0075228,
4801ad8e,qwen/qwen3.8-27b,low,4,True,True,"

False",False,miss,204,0.0062342,
a6d48178,qwen/qwen3.8-27b,minimal,12,False,False,"

False",False,correct_rejection,605,0.008055,
07714fed,qwen/qwen3.8-27b,low,3,True,True,"

False",False,miss,1586,0.0090678,
37efbccc,qwen/qwen3.8-27b,low,1,True,True,"

True",True,hit,1147,0.0077508,
f41c2c8c,qwen/qwen3.8-27b,low,7,True,True,"

False",False,miss,186,0.0062342,
14a22622,qwen/qwen3.8-27b,low,5,True,True,"

True",True,hit,1346,0.0097254,
6f121c83,qwen/qwen3.8-27b,low,2,True,True,"

True",True,hit,899,0.0070068,
e63728d1,qwen/qwen3.8-27b,low,8,True,True,"

True",True,hit,537,0.00886656,
e75d9759,qwen/qwen3.8-27b,low,6,True,True,"

Tracking the two crosses: at the start the upper‑middle cross blinks off (absent from ~4.4 s to ~7.4 s) while the lower‑right cross stays steady, so the **cued cross is the upper one**. Following that upper cross through the motion, it is the one that becomes the solid square at ~12.6–13.6 s (the lower‑right cross remains a cross during that interval). Hence the square is the same object as the initially blinking cross.

True",True,hit,532,0.0080742,
75b7ae6b,qwen/qwen3.8-27b,low,10,False,False,"

True",True,false_alarm,1453,0.0100678,
2aad0c06,qwen/qwen3.8-27b,low,12,False,False,False,False,correct_rejection,2317,0.0136708,
d5906fc4,qwen/qwen3.8-27b,low,11,False,False,"

False",False,correct_rejection,1640,0.0092298,
213236cf,qwen/qwen3.8-27b,low,15,False,False,"

False",False,correct_rejection,871,0.009799,
2016aedb,qwen/qwen3.8-27b,low,14,False,False,"

False",False,correct_rejection,203,0.0062342,
ca7fce99,qwen/qwen3.8-27b,low,17,False,False,"

False",False,correct_rejection,786,0.0079334,
2de01539,qwen/qwen3.8-27b,low,18,False,False,"

False",False,correct_rejection,764,0.009031,
14e78171,qwen/qwen3.8-27b,low,19,False,False,"

False",False,correct_rejection,755,0.008951,
ee1e19f0,qwen/qwen3.8-27b,low,13,False,False,"

False",False,correct_rejection,698,0.0085158,
bec986cf,qwen/qwen3.8-27b,medium,2,True,True,"

True",True,hit,615,0.0082687,
7dce745f,qwen/qwen3.8-27b,medium,1,True,True,"

True",True,hit,434,0.0073727,
3b3bc6db,qwen/qwen3.8-27b,medium,3,True,True,"

True",True,hit,785,0.0098207,
4ba4f984,qwen/qwen3.8-27b,medium,0,True,True,"

True",True,hit,794,0.0066798,
bc0727b7,qwen/qwen3.8-27b,medium,4,True,True,"

True",True,hit,1537,0.0141087,
456235fa,qwen/qwen3.8-27b,medium,5,True,True,"

True",True,hit,535,0.00848496,
7d1c0e4d,qwen/qwen3.8-27b,low,16,False,False,"

False",False,correct_rejection,3020,0.0133698,
7070dbd2,qwen/qwen3.8-27b,low,9,True,True,"

True",True,hit,486,0.0077158,
f2fa2aa9,qwen/qwen3.8-27b,medium,7,True,True,"

True",True,hit,714,0.0064398,
11e5e948,qwen/qwen3.8-27b,medium,8,True,True,"

True",True,hit,618,0.0084831,
25eac4df,qwen/qwen3.8-27b,medium,6,True,True,"

True",True,hit,1345,0.0083328,
276207b6,qwen/qwen3.8-27b,medium,11,False,False,"

False",False,correct_rejection,638,0.0083007,
b0b6475c,qwen/qwen3.8-27b,medium,12,False,False,"

False",False,correct_rejection,1003,0.0103167,
a2229685,qwen/qwen3.8-27b,medium,14,False,False,"

False",False,correct_rejection,445,0.0074111,
a99eba09,qwen/qwen3.8-27b,medium,15,False,False,"

False",False,correct_rejection,919,0.0100287,
a411936d,qwen/qwen3.8-27b,medium,16,False,False,"

False",False,correct_rejection,607,0.0079423,
3acdea2d,qwen/qwen3.8-27b,medium,10,False,False,True,True,false_alarm,1732,0.011726,
95c1ede3,qwen/qwen3.8-27b,medium,9,True,True,"

True",True,hit,595,0.0081983,
7970a178,qwen/qwen3.8-27b,medium,13,False,False,"

False",False,correct_rejection,916,0.0083359,
c79cbf3e,qwen/qwen3.8-27b,medium,18,False,False,"

False",False,correct_rejection,626,0.0083327,
7532a80e,qwen/qwen3.8-27b,medium,19,False,False,True,True,false_alarm,1744,0.0117656,
31b387a8,qwen/qwen3.8-27b,high,0,True,True,False,False,miss,1714,0.0116666,
541e8181,qwen/qwen3.8-27b,medium,17,False,False,True,True,false_alarm,2447,0.0140855,
bab40db1,qwen/qwen3.8-27b,high,1,True,True,True,True,hit,1441,0.0107657,
089df3d2,qwen/qwen3.8-27b,high,3,True,True,"

True",True,hit,845,0.0095679,
a1d77cc6,qwen/qwen3.8-27b,high,5,True,True,"

True",True,hit,1072,0.0109599,
442ecfc6,qwen/qwen3.8-27b,high,6,True,True,"

True",True,hit,602,0.0084383,
a253bb7d,qwen/qwen3.8-27b,high,9,True,True,"

True",True,hit,625,0.0082111,
5ede3e74,qwen/qwen3.8-27b,high,2,True,True,"

True",True,hit,1304,0.0095775,
0a914c41,qwen/qwen3.8-27b,high,4,True,True,"

True",True,hit,1130,0.0076878,
35ad1072,qwen/qwen3.8-27b,high,8,True,True,False,False,miss,1953,0.0124553,
882acef8,qwen/qwen3.8-27b,high,7,True,True,"

True",True,hit,440,0.0078079,
d8898e55,qwen/qwen3.8-27b,high,12,False,False,"

False",False,correct_rejection,898,0.0069918,
776dfea7,qwen/qwen3.8-27b,high,11,False,False,"

False",False,correct_rejection,924,0.0083615,
f20b107b,qwen/qwen3.8-27b,high,10,False,False,"

True",True,false_alarm,1081,0.0088639,
5c60143b,qwen/qwen3.8-27b,high,16,False,False,"

False",False,correct_rejection,691,0.0085983,
04254cc8,qwen/qwen3.8-27b,high,13,False,False,"

True",True,false_alarm,1549,0.0119551,
85aa3f4f,qwen/qwen3.8-27b,high,14,False,False,True,True,false_alarm,3064,0.0161216,
afaa2aaa,qwen/qwen3.8-27b,high,18,False,False,"

False",False,correct_rejection,559,0.0079775,
a177f3a0,qwen/qwen3.8-27b,high,17,False,False,"

False",False,correct_rejection,1302,0.0082038,
52ad1688,qwen/qwen3.8-27b,high,19,False,False,"

False",False,correct_rejection,717,0.0089631,
8280454c,qwen/qwen3.8-max,minimal,1,True,True,True,True,hit,1438,0.030506,
13a22fb0,qwen/qwen3.8-max,minimal,2,True,True,False,False,miss,1222,0.02921,
f67c87a4,qwen/qwen3.8-max,minimal,0,True,True,False,False,miss,1754,0.032402,
87efab40,qwen/qwen3.8-max,minimal,3,True,True,True,True,hit,1082,0.028364,
f1d1884f,qwen/qwen3.8-max,minimal,5,True,True,False,False,miss,945,0.027548,
0dab4b6e,qwen/qwen3.8-max,minimal,7,True,True,True,True,hit,1079,0.028352,
56ba65aa,qwen/qwen3.8-max,minimal,4,True,True,True,True,hit,1876,0.033134,
ce3d77be,qwen/qwen3.8-max,minimal,6,True,True,True,True,hit,1642,0.03173,
44c41bbe,qwen/qwen3.8-max,minimal,11,False,False,True,True,false_alarm,1254,0.029402,
fe849410,qwen/qwen3.8-27b,high,15,False,False,"

False",False,correct_rejection,914,0.0102399,
f1cbcbfe,qwen/qwen3.8-max,minimal,12,False,False,False,False,correct_rejection,983,0.027776,
68258931,qwen/qwen3.8-max,minimal,9,True,True,False,False,miss,2285,0.035588,
dbc051b2,qwen/qwen3.8-max,minimal,10,False,False,False,False,correct_rejection,2099,0.034466,
e98d8c99,qwen/qwen3.8-max,minimal,13,False,False,False,False,correct_rejection,1130,0.028658,
20fb4b2a,qwen/qwen3.8-max,minimal,14,False,False,False,False,correct_rejection,1504,0.030896,
825762f0,qwen/qwen3.8-max,minimal,16,False,False,False,False,correct_rejection,1676,0.031928,
f2652a20,qwen/qwen3.8-max,minimal,17,False,False,False,False,correct_rejection,1405,0.030308,
aedf6206,qwen/qwen3.8-max,minimal,15,False,False,True,True,false_alarm,1834,0.032882,
57351df3,qwen/qwen3.8-max,minimal,19,False,False,True,True,false_alarm,1210,0.029138,
3579b5d0,qwen/qwen3.8-max,low,2,True,True,False,False,miss,946,0.027548,
73816a7f,qwen/qwen3.8-max,low,0,True,True,False,False,miss,1193,0.029036,
8f14e0fd,qwen/qwen3.8-max,low,3,True,True,True,True,hit,1178,0.028946,
739fbea1,qwen/qwen3.8-max,low,1,True,True,False,False,miss,2202,0.035084,
f80d449a,qwen/qwen3.8-max,low,6,True,True,True,True,hit,1495,0.030848,
1d3c4c4b,qwen/qwen3.8-max,low,4,True,True,False,False,miss,1746,0.032354,
bc97e01a,qwen/qwen3.8-max,low,5,True,True,True,True,hit,1624,0.031622,
b9900e6f,qwen/qwen3.8-max,low,7,True,True,True,True,hit,1134,0.028682,
ab928744,qwen/qwen3.8-max,low,11,False,False,True,True,false_alarm,751,0.026384,
665cf0b3,qwen/qwen3.8-max,low,8,True,True,True,True,hit,1394,0.030242,
adc950ff,qwen/qwen3.8-max,low,12,False,False,True,True,false_alarm,948,0.027566,
d71b8bc0,qwen/qwen3.8-max,low,9,True,True,False,False,miss,1528,0.03104,
4ddc9a50,qwen/qwen3.8-max,low,13,False,False,False,False,correct_rejection,967,0.02768,
5d2304ea,qwen/qwen3.8-max,low,14,False,False,False,False,correct_rejection,1290,0.029612,
49f267f3,qwen/qwen3.8-max,low,10,False,False,False,False,correct_rejection,2436,0.036488,
d2b30e91,qwen/qwen3.8-max,low,16,False,False,True,True,false_alarm,876,0.027134,
16dc6acf,qwen/qwen3.8-max,low,15,False,False,False,False,correct_rejection,2042,0.03413,
7d318276,qwen/qwen3.8-max,low,19,False,False,True,True,false_alarm,733,0.026276,
5fd49385,qwen/qwen3.8-max,low,18,False,False,False,False,correct_rejection,1121,0.028598,
b33b19df,qwen/qwen3.8-max,low,17,False,False,False,False,correct_rejection,2199,0.035072,
fd9ecf55,qwen/qwen3.8-max,medium,3,True,True,True,True,hit,3271,0.041452,
1005b186,qwen/qwen3.8-max,medium,0,True,True,True,True,hit,4982,0.033798,
575efc10,qwen/qwen3.8-max,medium,2,True,True,False,False,miss,4762,0.050392,
ac87d4f9,qwen/qwen3.8-max,medium,1,True,True,True,True,hit,5077,0.052282,
ea8a5e29,qwen/qwen3.8-max,medium,4,True,True,True,True,hit,6133,0.058624,
7a2f9c50,qwen/qwen3.8-max,medium,7,True,True,True,True,hit,5239,0.053254,
14057795,qwen/qwen3.8-max,medium,6,True,True,False,False,miss,6198,0.059008,
4b587666,qwen/qwen3.8-max,medium,5,True,True,True,True,hit,8149,0.07072,
b6f911d5,qwen/qwen3.8-max,medium,8,True,True,False,False,miss,7546,0.067102,
4d3c90d3,qwen/qwen3.8-max,medium,9,True,True,True,True,hit,5874,0.057064,
7efaae71,qwen/qwen3.8-max,medium,11,False,False,True,True,false_alarm,3575,0.043276,
4bfac0fe,qwen/qwen3.8-max,medium,12,False,False,True,True,false_alarm,5105,0.052456,
dc6b6b7e,qwen/qwen3.8-max,medium,13,False,False,False,False,correct_rejection,4866,0.051016,
e5d5c9ec,qwen/qwen3.8-max,medium,14,False,False,True,True,false_alarm,4642,0.049672,
755beaef,qwen/qwen3.8-max,medium,15,False,False,False,False,correct_rejection,5842,0.056878,
63e99ece,qwen/qwen3.8-max,medium,16,False,False,False,False,correct_rejection,5496,0.054802,
4b9b54f8,qwen/qwen3.8-max,medium,19,False,False,True,True,false_alarm,5617,0.055522,
92cb51f4,qwen/qwen3.8-max,medium,17,False,False,False,False,correct_rejection,6920,0.063346,
05aecd97,qwen/qwen3.8-max,medium,18,False,False,True,True,false_alarm,6657,0.061768,
62347887,qwen/qwen3.8-max,high,0,True,True,False,False,miss,5896,0.039282,
b23e0e6a,qwen/qwen3.8-max,high,1,True,True,True,True,hit,5876,0.039162,
3c058c81,qwen/qwen3.8-max,high,2,True,True,False,False,miss,4613,0.031578,
ffb8d7f0,qwen/qwen3.8-max,high,4,True,True,True,True,hit,5499,0.036894,
fcd452b7,qwen/qwen3.8-max,high,3,True,True,False,False,miss,6073,0.040338,
291ea851,qwen/qwen3.8-max,high,5,True,True,False,False,miss,4625,0.03165,
5b076827,qwen/qwen3.8-max,high,6,True,True,True,True,hit,6905,0.045336,
1de2dbb1,qwen/qwen3.8-max,high,7,True,True,True,True,hit,6016,0.040002,
f1303432,qwen/qwen3.8-max,high,10,False,False,True,True,false_alarm,5249,0.0354,
41fa4948,qwen/qwen3.8-max,high,8,True,True,True,True,hit,7219,0.047214,
da1ce2ee,qwen/qwen3.8-max,high,9,True,True,True,True,hit,6486,0.042822,
7195f125,qwen/qwen3.8-max,high,12,False,False,True,True,false_alarm,4517,0.031002,
6ca3c123,qwen/qwen3.8-max,high,11,False,False,True,True,false_alarm,6323,0.041844,
53c02477,qwen/qwen3.8-max,high,13,False,False,False,False,correct_rejection,4841,0.032952,
2985c61a,qwen/qwen3.8-max,high,15,False,False,False,False,correct_rejection,6990,0.045846,
3918504f,qwen/qwen3.8-max,high,16,False,False,False,False,correct_rejection,5052,0.034218,
d76cf229,qwen/qwen3.8-max,high,14,False,False,True,True,false_alarm,8275,0.05355,
7cdd0aee,qwen/qwen3.8-max,high,18,False,False,True,True,false_alarm,4943,0.033564,
76573ab1,qwen/qwen3.8-max,high,17,False,False,False,False,correct_rejection,5919,0.03942,
131f69d6,qwen/qwen3.8-max,high,19,False,False,False,False,correct_rejection,6984,0.04581,
edcc1b6a,qwen/qwen3.8-max,minimal,8,True,True,True,True,hit,1008,0.027926,
a8b66f02,qwen/qwen3.8-max,minimal,18,False,False,True,True,false_alarm,1812,0.032744,
034dade4,qwen/qwen3.8-max,medium,10,False,False,True,True,false_alarm,7261,0.047472,
