provider_pinned,n_frames,rep,model,served_by_provider,response,prompt_tokens,completion_tokens,cost,error
coreweave,29,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally from the top-left to the bottom-right across a black background.,2142,22,0.00022168,
coreweave,30,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally from the upper left toward the bottom right against a black background.,2215,20,0.0002283,
coreweave,31,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally from the top-left to the bottom-right against a black background.,2288,22,0.00023628,
coreweave,32,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally across a black background from the center-left to the bottom-right before disappearing.,2361,24,0.00024426,
coreweave,33,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally across a black screen from the middle left to the bottom right.,2361,21,0.00024324,
coreweave,34,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally across a black screen from the middle left to the bottom right.,2361,20,0.0002429,
coreweave,35,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally from the center-left to the bottom-right across a black background before disappearing.,2361,25,0.0002446,
coreweave,36,0,google/gemma-4-31b-it,CoreWeave,A small white cross moves diagonally across a black screen from the left to the right.,2361,18,0.00024222,
coreweave,37,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally across a black background from the upper left to the lower right before disappearing.,2361,22,0.00024358,
coreweave,38,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally across a black background from the middle left to the bottom right before disappearing.,2361,23,0.00024392,
coreweave,39,0,google/gemma-4-31b-it,CoreWeave,A white cross moves diagonally from the upper left to the lower right against a black background.,2361,19,0.00024256,
coreweave,40,0,google/gemma-4-31b-it,CoreWeave,A white cross moves diagonally from the left to the right across a black background and then disappears.,2361,20,0.0002429,
coreweave,41,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally across a black background from the upper left to the lower right and then disappears.,2361,24,0.00024426,
coreweave,42,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves from left to right across a black background before disappearing.,2361,18,0.00024222,
coreweave,43,0,google/gemma-4-31b-it,CoreWeave,A white plus sign moves diagonally across a black background from the upper left to the lower right before disappearing.,2361,22,0.00024358,
coreweave,44,0,google/gemma-4-31b-it,CoreWeave,A small white plus sign moves diagonally across a black background from the left side to the right side before disappearing.,2361,23,0.00024392,
coreweave,45,0,google/gemma-4-31b-it,CoreWeave,A white cross moves from left to right across a black screen.,2361,14,0.00024086,
chutes,1,0,google/gemma-4-31b-it,Chutes,A white cross symbol is centered against a solid black background.,96,13,1.5898e-05,
chutes,2,0,google/gemma-4-31b-it,Chutes,A small white cross is centered on a black background.,169,12,2.4288e-05,
chutes,3,0,google/gemma-4-31b-it,Chutes,The video consists of a black screen with a small white plus sign in the center.,242,18,3.5268e-05,
chutes,4,0,google/gemma-4-31b-it,Chutes,A small white plus sign is centered on a black background.,315,13,4.2394e-05,
chutes,5,0,google/gemma-4-31b-it,Chutes,A small white cross is centered on a black background.,388,12,5.0784e-05,
chutes,6,0,google/gemma-4-31b-it,Chutes,A white plus sign is centered against a solid black background.,461,13,5.9914e-05,
chutes,7,0,google/gemma-4-31b-it,Chutes,A small white cross is centered against a solid black background.,534,13,6.8458e-05,
chutes,8,0,google/gemma-4-31b-it,Chutes,A small white plus sign is centered against a black background.,607,13,7.7218e-05,
chutes,9,0,google/gemma-4-31b-it,Chutes,A white plus sign is centered against a black background.,680,12,8.5824e-05,
chutes,10,0,google/gemma-4-31b-it,Chutes,A white plus sign is centered on a solid black background.,753,13,9.4738e-05,
chutes,11,0,google/gemma-4-31b-it,Chutes,A white plus sign is centered on a black background.,826,12,0.000103128,
chutes,12,0,google/gemma-4-31b-it,Chutes,A small white cross is centered against a solid black background.,899,13,0.000112474,
chutes,13,0,google/gemma-4-31b-it,Chutes,A small white plus sign moves diagonally across a black screen.,972,13,0.000121234,
chutes,14,0,google/gemma-4-31b-it,Chutes,A small white plus sign slowly moves across a black background.,1045,13,0.000129994,
chutes,16,0,google/gemma-4-31b-it,Chutes,A white plus sign moves across a black background.,1191,11,0.000146558,
chutes,17,0,google/gemma-4-31b-it,Chutes,A white plus sign moves slowly across a black background.,1264,12,0.000155904,
chutes,18,0,google/gemma-4-31b-it,Chutes,A small white plus sign moves diagonally across a black screen from the left towards the center.,1337,19,0.000167038,
chutes,21,0,google/gemma-4-31b-it,Chutes,A white plus sign moves diagonally across a black background.,1556,12,0.000190728,
chutes,23,0,google/gemma-4-31b-it,Chutes,A white plus sign moves diagonally across a black background from the center-left to the bottom-right.,1702,22,0.000211948,
chutes,24,0,google/gemma-4-31b-it,Chutes,A white plus sign moves diagonally across a black background from the center-left to the bottom-right.,1775,22,0.000220708,
chutes,25,0,google/gemma-4-31b-it,Chutes,A small white plus sign moves diagonally across a black background from the middle left to the bottom right.,1848,21,0.000229098,
chutes,26,0,google/gemma-4-31b-it,Chutes,A small white plus sign moves diagonally from the center-left to the bottom-right on a black background.,1921,23,0.000238814,
chutes,27,0,google/gemma-4-31b-it,Chutes,A white plus sign moves across a black background from the left to the right.,1994,17,0.000245138,
crusoe,1,0,google/gemma-4-31b-it,Crusoe,The video shows a small white cross symbol centered against a solid black background.,96,16,1.984e-05,
crusoe,2,0,google/gemma-4-31b-it,Crusoe,The video shows a small white plus sign centered on a black background.,169,15,2.966e-05,
crusoe,3,0,google/gemma-4-31b-it,Crusoe,A white cross is centered against a black background.,242,11,3.828e-05,
crusoe,4,0,google/gemma-4-31b-it,Crusoe,A white plus sign is centered against a solid black background.,315,13,4.93e-05,
crusoe,5,0,google/gemma-4-31b-it,Crusoe,A small white plus sign is centered against a solid black background.,388,14,5.992e-05,
crusoe,6,0,google/gemma-4-31b-it,Crusoe,A small white plus sign is centered on a black background.,461,13,6.974e-05,
crusoe,7,0,google/gemma-4-31b-it,Crusoe,A white plus sign is centered against a black background.,534,12,7.956e-05,
crusoe,8,0,google/gemma-4-31b-it,Crusoe,A white plus sign is centered against a black background.,607,12,8.978e-05,
crusoe,9,0,google/gemma-4-31b-it,Crusoe,A white plus sign is centered on a black background.,680,12,0.0001,
crusoe,10,0,google/gemma-4-31b-it,Crusoe,A small white plus sign is centered on a black background.,753,13,0.00011062,
crusoe,11,0,google/gemma-4-31b-it,Crusoe,A white plus sign is centered on a black background.,826,12,0.00012044,
crusoe,12,0,google/gemma-4-31b-it,Crusoe,A small white cross is centered against a black background.,899,12,0.00013066,
crusoe,14,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background.,1045,11,0.0001507,
crusoe,15,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black background.,1118,12,0.00016132,
crusoe,16,0,google/gemma-4-31b-it,Crusoe,A small white plus sign moves diagonally across a black background.,1191,13,0.00017194,
crusoe,17,0,google/gemma-4-31b-it,Crusoe,A small white plus sign moves diagonally across a black background from the left to the right.,1264,19,0.00018456,
crusoe,18,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves slowly across a black background.,1337,12,0.00019198,
crusoe,19,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black background from the center-left to the bottom-right.,1410,22,0.0002062,
crusoe,20,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves slowly across a black background.,1483,12,0.00021242,
crusoe,21,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally from the center-left to the bottom-right against a black background.,1556,22,0.00022664,
crusoe,22,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally from the upper-left to the lower-right of a black screen.,1629,22,0.00023686,
crusoe,23,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background from left to right.,1702,15,0.00024428,
crusoe,24,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally from the center-left to the bottom-right against a black background.,1775,22,0.0002573,
crusoe,25,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black background from the center-left to the bottom-right.,1848,22,0.00026752,
crusoe,26,0,google/gemma-4-31b-it,Crusoe,A small white plus sign moves diagonally from the left side to the right side across a black background.,1921,21,0.00027734,
crusoe,27,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves slowly across a black screen from left to right.,1994,16,0.00028556,
crusoe,28,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves horizontally across a black background.,2067,12,0.00029418,
crusoe,29,0,google/gemma-4-31b-it,Crusoe,A small white plus sign moves slowly across a black background from left to right.,2140,17,0.0003064,
crusoe,30,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background from left to right.,2213,15,0.00031582,
crusoe,31,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background.,2286,11,0.00032444,
crusoe,32,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black background.,2359,12,0.00033506,
crusoe,33,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black background from the middle-left to the middle-right.,2359,22,0.00033906,
crusoe,34,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background from left to right.,2359,15,0.00033626,
crusoe,35,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background.,2359,11,0.00033466,
crusoe,36,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves horizontally across a black background from left to right.,2359,16,0.00033666,
crusoe,37,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background from left to right.,2359,15,0.00033626,
crusoe,38,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black background from left to right.,2359,15,0.00033626,
crusoe,39,0,google/gemma-4-31b-it,Crusoe,A small white plus sign moves across a black background from left to right.,2359,16,0.00033666,
crusoe,40,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves across a black screen from left to right.,2359,15,0.00033626,
crusoe,41,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black background from the left side to the right side.,2359,20,0.00033826,
crusoe,42,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black screen.,2359,12,0.00033506,
crusoe,43,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black background from the top-left to the bottom-right.,2359,22,0.00033906,
crusoe,44,0,google/gemma-4-31b-it,Crusoe,A white plus sign moves diagonally across a black screen from the upper left to the lower right.,2359,20,0.00033826,
crusoe,45,0,google/gemma-4-31b-it,Crusoe,A small white plus sign moves across a black screen from left to right.,2359,16,0.00033666,
parasail,1,0,google/gemma-4-31b-it,Parasail,The video shows a white plus sign centered on a black background.,96,14,1.964e-05,
parasail,2,0,google/gemma-4-31b-it,Parasail,The video shows a white plus sign on a black background.,169,13,3.037e-05,
parasail,3,0,google/gemma-4-31b-it,Parasail,A small white plus sign is centered on a black background.,242,13,4.114e-05,
parasail,4,0,google/gemma-4-31b-it,Parasail,A white plus sign is centered on a black background.,315,12,5.169e-05,
parasail,5,0,google/gemma-4-31b-it,Parasail,The video shows a white plus sign against a black background.,388,13,6.142e-05,
parasail,6,0,google/gemma-4-31b-it,Parasail,The video shows a small white cross on a black background.,461,13,7.399e-05,
parasail,7,0,google/gemma-4-31b-it,Parasail,A small white plus sign is centered on a black background.,534,13,8.512e-05,
parasail,8,0,google/gemma-4-31b-it,Parasail,A small white plus sign is centered on a black background.,607,13,9.589e-05,
parasail,9,0,google/gemma-4-31b-it,Parasail,A small white plus sign is centered on a black background.,680,13,0.00010522,
parasail,10,0,google/gemma-4-31b-it,Parasail,A white plus sign is centered against a solid black background.,753,13,0.00011617,
parasail,11,0,google/gemma-4-31b-it,Parasail,A white plus sign is centered on a black background.,826,12,0.00012672,
parasail,12,0,google/gemma-4-31b-it,Parasail,A white plus sign moves slowly across a black background.,899,12,0.00013767,
parasail,13,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves slowly across a black background.,972,13,0.00014902,
parasail,14,0,google/gemma-4-31b-it,Parasail,A small white cross moves diagonally across a black background.,1045,12,0.00015957,
parasail,15,0,google/gemma-4-31b-it,Parasail,A small white cross moves diagonally across a black screen.,1118,12,0.00017052,
parasail,16,0,google/gemma-4-31b-it,Parasail,A white plus sign moves diagonally across a black background.,1191,12,0.00018147,
parasail,17,0,google/gemma-4-31b-it,Parasail,A white plus sign moves diagonally across a black background.,1264,12,0.00019242,
parasail,18,0,google/gemma-4-31b-it,Parasail,A white plus sign moves slowly diagonally from the center-left towards the bottom-right against a black background.,1337,23,0.00020777,
parasail,19,0,google/gemma-4-31b-it,Parasail,A white plus sign moves diagonally from the center-left to the bottom-right against a black background.,1410,22,0.00021832,
parasail,20,0,google/gemma-4-31b-it,Parasail,A white plus sign moves slowly from the left side to the right side across a black background.,1483,20,0.00023009,
parasail,21,0,google/gemma-4-31b-it,Parasail,A white plus sign moves diagonally from the upper left toward the lower right against a black background.,1556,20,0.00023942,
parasail,22,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves diagonally from the left to the right across a black background.,1629,19,0.00024997,
parasail,23,0,google/gemma-4-31b-it,Parasail,A white plus sign moves diagonally across a black background from the left to the right.,1702,18,0.00026052,
parasail,24,0,google/gemma-4-31b-it,Parasail,A white plus sign moves across a black background from left to right.,1775,15,0.00027027,
parasail,25,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves across a black background from the left to the right.,1848,18,0.00028242,
parasail,26,0,google/gemma-4-31b-it,Parasail,A white cross moves slowly across a black background.,1921,11,0.00029219,
parasail,27,0,google/gemma-4-31b-it,Parasail,A small white cross moves diagonally across a black screen from the left to the right.,1994,18,0.00030594,
parasail,28,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves slowly across a black background.,2067,13,0.00031327,
parasail,29,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves across a black screen from left to right.,2140,16,0.00032542,
parasail,30,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves across a black background from left to right.,2213,16,0.00033637,
parasail,31,0,google/gemma-4-31b-it,Parasail,A white plus sign moves across a black background from left to right.,2286,15,0.00034692,
parasail,32,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves across a black screen from left to right.,2359,16,0.00035989,
parasail,33,0,google/gemma-4-31b-it,Parasail,A white plus sign moves diagonally across a black background from the upper left to the lower right.,2359,20,0.00035987,
parasail,34,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves across a black background.,2359,12,0.00035847,
parasail,35,0,google/gemma-4-31b-it,Parasail,A small white cross moves across a black background.,2359,11,0.00035627,
parasail,36,0,google/gemma-4-31b-it,Parasail,A white plus sign moves across a black background.,2359,11,0.00035627,
parasail,37,0,google/gemma-4-31b-it,Parasail,A white plus sign moves diagonally across a black background from the left to the right.,2359,18,0.00036087,
parasail,38,0,google/gemma-4-31b-it,Parasail,A white plus sign moves horizontally across a black screen from left to right.,2359,16,0.00035827,
parasail,39,0,google/gemma-4-31b-it,Parasail,A small white cross moves diagonally across a black background from the center-left to the far right edge.,2359,22,0.00036067,
parasail,40,0,google/gemma-4-31b-it,Parasail,A white plus sign moves across a black background.,2359,11,0.00035627,
parasail,41,0,google/gemma-4-31b-it,Parasail,A white plus sign moves across a black background from left to right.,2359,15,0.00035949,
parasail,42,0,google/gemma-4-31b-it,Parasail,A white plus sign moves across a black background from left to right.,2359,15,0.00035787,
parasail,43,0,google/gemma-4-31b-it,Parasail,A white cross moves diagonally across a black background from the upper left to the lower right.,2359,19,0.00035947,
parasail,44,0,google/gemma-4-31b-it,Parasail,A small white plus sign moves diagonally across a black background.,2359,13,0.00035707,
parasail,45,0,google/gemma-4-31b-it,Parasail,A white plus sign moves across a black screen from left to right.,2359,15,0.00035949,
together,1,0,google/gemma-4-31b-it,Together,The video is completely black with a small white plus sign in the center.,96,16,5.296e-05,
together,2,0,google/gemma-4-31b-it,Together,The video shows a white cross on a black background.,169,12,7.755e-05,
together,3,0,google/gemma-4-31b-it,Together,A small white plus sign is centered on a black background.,242,13,0.00010699,
together,4,0,google/gemma-4-31b-it,Together,A white plus sign is centered on a black background.,315,12,0.00013449,
together,6,0,google/gemma-4-31b-it,Together,A white plus sign moves across a black background.,461,11,0.00019046,
together,7,0,google/gemma-4-31b-it,Together,A small white plus sign moves across a black background.,534,12,0.0002199,
together,8,0,google/gemma-4-31b-it,Together,A small white plus sign moves across a black background.,607,12,0.00024837,
together,9,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally across a black background.,680,13,0.00027781,
together,10,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally across a black background.,753,13,0.00030628,
together,11,0,google/gemma-4-31b-it,Together,A small white plus sign moves across a black background from the left toward the center.,826,18,0.0003396,
together,12,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally across a black background.,899,13,0.00036322,
together,13,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the center-left toward the center of a black screen.,972,21,0.00039945,
together,14,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the left to the center of a black screen.,1045,19,0.00042598,
together,16,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally across a black background from the left to the right.,1191,19,0.00048292,
together,17,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally across a black background.,1264,13,0.00050557,
together,18,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the lower left to the upper right across a black background.,1337,21,0.0005418,
together,19,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the center-left towards the center-right of a black screen.,1410,23,0.00057221,
together,20,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the left side to the right side of a black screen.,1483,21,0.00059874,
together,21,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the left side to the right side of a black background.,1556,21,0.00062721,
together,22,0,google/gemma-4-31b-it,Together,A white plus sign moves diagonally across a black background.,1629,12,0.00064695,
together,23,0,google/gemma-4-31b-it,Together,A white plus sign moves diagonally from the left to the right across a black background.,1702,18,0.00068124,
together,24,0,google/gemma-4-31b-it,Together,A white plus sign moves from the left to the right across a black background.,1775,17,0.00070874,
together,25,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally across a black screen from the top-left to the bottom-right.,1848,23,0.00074303,
together,26,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the left to the right across a black background.,1921,19,0.00076762,
together,27,0,google/gemma-4-31b-it,Together,A white plus sign moves diagonally from the upper-left to the lower-right against a black background.,1994,22,0.000799,
together,28,0,google/gemma-4-31b-it,Together,A small white plus sign moves diagonally from the top left to the bottom right across a black background.,2067,21,0.0008265,
together,29,0,google/gemma-4-31b-it,Together,A small white plus sign moves from the left to the right side of a black screen.,2140,19,0.00085303,
together,30,0,google/gemma-4-31b-it,Together,A small white plus sign moves across a black background from left to right.,2213,16,0.00087859,
