trial_id,model,host,rotation_deg,n_objects,seed,probe_on_target,probe_is_target,response,predicted,outcome,prompt_tokens,completion_tokens,reasoning_tokens,cost,served_by_provider,error
8e6842ef,google/gemma-4-31b-it,deepinfra-fp8,40,3,7,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
a4ee9cba,google/gemma-4-31b-it,deepinfra-fp8,40,3,4,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
203047c9,google/gemma-4-31b-it,deepinfra-fp8,40,3,6,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
5080e665,google/gemma-4-31b-it,deepinfra-fp8,40,3,1,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
c7bf69ee,google/gemma-4-31b-it,deepinfra-fp8,40,3,5,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
14ad69e6,google/gemma-4-31b-it,deepinfra-fp8,40,3,8,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
cf1012bf,google/gemma-4-31b-it,deepinfra-fp8,40,3,10,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
c839b4f2,google/gemma-4-31b-it,deepinfra-fp8,40,3,9,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
cb5c85b5,google/gemma-4-31b-it,deepinfra-fp8,40,3,11,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
b9eaa4ff,google/gemma-4-31b-it,deepinfra-fp8,40,3,14,False,False,True,True,false_alarm,2541,1,0,0.00068683,DeepInfra,
d609c716,google/gemma-4-31b-it,deepinfra-fp8,40,3,13,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
a0602e62,google/gemma-4-31b-it,deepinfra-fp8,40,3,12,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
5487980f,google/gemma-4-31b-it,deepinfra-fp8,40,3,15,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
c6686e7b,google/gemma-4-31b-it,deepinfra-fp8,40,3,16,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
c6f57afc,google/gemma-4-31b-it,deepinfra-fp8,40,3,17,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
83630d14,google/gemma-4-31b-it,deepinfra-fp8,40,3,18,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
1817ea52,google/gemma-4-31b-it,deepinfra-fp8,40,3,19,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
b8469b58,google/gemma-4-31b-it,deepinfra-fp8,80,3,2,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
1a182cbe,google/gemma-4-31b-it,deepinfra-fp8,80,3,3,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
92166d5c,google/gemma-4-31b-it,deepinfra-fp8,80,3,1,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
8bf17225,google/gemma-4-31b-it,deepinfra-fp8,80,3,4,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
cf4ac7cb,google/gemma-4-31b-it,deepinfra-fp8,80,3,0,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
37e2944e,google/gemma-4-31b-it,deepinfra-fp8,80,3,6,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
29e219be,google/gemma-4-31b-it,deepinfra-fp8,80,3,7,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
9e1b5c98,google/gemma-4-31b-it,deepinfra-fp8,80,3,5,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
099d0800,google/gemma-4-31b-it,deepinfra-fp8,80,3,8,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
818fc6b3,google/gemma-4-31b-it,deepinfra-fp8,80,3,10,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
85e9fecc,google/gemma-4-31b-it,deepinfra-fp8,80,3,9,True,True,True,True,hit,2541,1,0,0.00068683,DeepInfra,
248c9041,google/gemma-4-31b-it,deepinfra-fp8,80,3,11,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
90e32231,google/gemma-4-31b-it,deepinfra-fp8,80,3,12,False,False,True,True,false_alarm,2541,1,0,0.00068683,DeepInfra,
28ab0246,google/gemma-4-31b-it,deepinfra-fp8,80,3,13,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
21082567,google/gemma-4-31b-it,deepinfra-fp8,80,3,14,False,False,True,True,false_alarm,2541,1,0,0.00068683,DeepInfra,
1878fdad,google/gemma-4-31b-it,deepinfra-fp8,80,3,15,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
205934f5,google/gemma-4-31b-it,deepinfra-fp8,80,3,16,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
e9846083,google/gemma-4-31b-it,deepinfra-fp8,80,3,17,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
2dfe83a4,google/gemma-4-31b-it,deepinfra-fp8,80,3,18,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
bcf52c6a,google/gemma-4-31b-it,deepinfra-fp8,80,3,19,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
24c0b59b,google/gemma-4-31b-it,deepinfra-fp8,120,3,7,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
3264a674,google/gemma-4-31b-it,deepinfra-fp8,120,3,1,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
22661774,google/gemma-4-31b-it,deepinfra-fp8,120,3,0,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
c02214ef,google/gemma-4-31b-it,deepinfra-fp8,120,3,2,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
7712779e,google/gemma-4-31b-it,deepinfra-fp8,120,3,4,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
b31ab0e6,google/gemma-4-31b-it,deepinfra-fp8,120,3,3,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
1ea41005,google/gemma-4-31b-it,deepinfra-fp8,120,3,6,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
5e5a8eec,google/gemma-4-31b-it,deepinfra-fp8,120,3,5,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
47d6f301,google/gemma-4-31b-it,deepinfra-fp8,120,3,8,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
5622f76d,google/gemma-4-31b-it,deepinfra-fp8,120,3,10,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
13848cec,google/gemma-4-31b-it,deepinfra-fp8,120,3,9,True,True,False,False,miss,2541,1,0,0.00068683,DeepInfra,
d40f2032,google/gemma-4-31b-it,deepinfra-fp8,120,3,11,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
2c4317a5,google/gemma-4-31b-it,deepinfra-fp8,120,3,12,False,False,True,True,false_alarm,2541,1,0,0.00068683,DeepInfra,
f3ff616c,google/gemma-4-31b-it,deepinfra-fp8,120,3,14,False,False,True,True,false_alarm,2541,1,0,0.00068683,DeepInfra,
cff36b25,google/gemma-4-31b-it,deepinfra-fp8,120,3,13,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
c5c55042,google/gemma-4-31b-it,deepinfra-fp8,120,3,15,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
aa3482a1,google/gemma-4-31b-it,deepinfra-fp8,120,3,16,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
45d46327,google/gemma-4-31b-it,deepinfra-fp8,120,3,18,False,False,True,True,false_alarm,2541,1,0,0.00068683,DeepInfra,
dd4c2ab3,google/gemma-4-31b-it,deepinfra-fp8,120,3,17,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
26853c45,google/gemma-4-31b-it,deepinfra-fp8,120,3,19,False,False,False,False,correct_rejection,2541,1,0,0.00068683,DeepInfra,
8e9ef45b,google/gemma-4-31b-it,coreweave,40,3,0,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
2242c39a,google/gemma-4-31b-it,coreweave,40,3,6,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
bda06c64,google/gemma-4-31b-it,coreweave,40,3,7,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
7146a60d,google/gemma-4-31b-it,coreweave,40,3,2,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
14b1a3e5,google/gemma-4-31b-it,coreweave,40,3,1,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
4a641324,google/gemma-4-31b-it,coreweave,40,3,10,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
a26722c4,google/gemma-4-31b-it,coreweave,40,3,13,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
978a35a0,google/gemma-4-31b-it,coreweave,40,3,12,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
e2905409,google/gemma-4-31b-it,coreweave,40,3,9,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
7711e86e,google/gemma-4-31b-it,coreweave,40,3,15,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
8b6be5f3,google/gemma-4-31b-it,coreweave,40,3,16,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
2b7caa91,google/gemma-4-31b-it,coreweave,40,3,14,False,False,True,True,false_alarm,2543,2,0,0.00025498,CoreWeave,
4dd631ce,google/gemma-4-31b-it,coreweave,40,3,19,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
04f30d37,google/gemma-4-31b-it,coreweave,40,3,18,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
647845d5,google/gemma-4-31b-it,coreweave,40,3,17,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
3adbe1cd,google/gemma-4-31b-it,coreweave,40,3,3,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
2c8c52a3,google/gemma-4-31b-it,coreweave,40,3,4,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
267faa28,google/gemma-4-31b-it,coreweave,40,3,5,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
3c7f48a6,google/gemma-4-31b-it,coreweave,40,3,8,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
a6c2f2e8,google/gemma-4-31b-it,coreweave,40,3,11,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
42a62248,google/gemma-4-31b-it,coreweave,80,3,5,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
d0bd7e73,google/gemma-4-31b-it,coreweave,80,3,7,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
6d336a1b,google/gemma-4-31b-it,coreweave,80,3,1,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
8f7b788f,google/gemma-4-31b-it,coreweave,80,3,3,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
c7a36acb,google/gemma-4-31b-it,coreweave,80,3,8,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
93e72ee7,google/gemma-4-31b-it,coreweave,80,3,2,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
3c7b0f49,google/gemma-4-31b-it,coreweave,80,3,10,False,False,True,True,false_alarm,2543,2,0,0.00025498,CoreWeave,
d01ad171,google/gemma-4-31b-it,coreweave,80,3,9,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
296bcf29,google/gemma-4-31b-it,coreweave,80,3,13,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
f2fe8e71,google/gemma-4-31b-it,coreweave,80,3,14,False,False,True,True,false_alarm,2543,2,0,0.00025498,CoreWeave,
edce23fa,google/gemma-4-31b-it,coreweave,80,3,15,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
efecb391,google/gemma-4-31b-it,coreweave,80,3,16,False,False,True,True,false_alarm,2543,2,0,0.00025498,CoreWeave,
11f1257c,google/gemma-4-31b-it,coreweave,80,3,19,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
04bf3822,google/gemma-4-31b-it,coreweave,80,3,18,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
278fe52b,google/gemma-4-31b-it,coreweave,80,3,4,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
67139217,google/gemma-4-31b-it,coreweave,80,3,0,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
b3d29a7e,google/gemma-4-31b-it,coreweave,80,3,6,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
76eb57b7,google/gemma-4-31b-it,coreweave,80,3,11,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
2deaffad,google/gemma-4-31b-it,coreweave,80,3,12,False,False,True,True,false_alarm,2543,2,0,0.00025498,CoreWeave,
7033f12e,google/gemma-4-31b-it,coreweave,80,3,17,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
157d83b2,google/gemma-4-31b-it,coreweave,120,3,2,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
746da79e,google/gemma-4-31b-it,coreweave,120,3,7,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
f94eeb22,google/gemma-4-31b-it,coreweave,120,3,1,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
efcf0bfd,google/gemma-4-31b-it,coreweave,120,3,4,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
21b967b2,google/gemma-4-31b-it,coreweave,120,3,3,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
864b4120,google/gemma-4-31b-it,coreweave,120,3,5,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
419fd4cd,google/gemma-4-31b-it,coreweave,120,3,6,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
2ccc2ed7,google/gemma-4-31b-it,coreweave,120,3,0,True,True,True,True,hit,2543,2,0,0.00025498,CoreWeave,
77d65d77,google/gemma-4-31b-it,coreweave,120,3,8,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
34f10c62,google/gemma-4-31b-it,coreweave,120,3,10,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
969abe8a,google/gemma-4-31b-it,coreweave,120,3,9,True,True,False,False,miss,2543,2,0,0.00025498,CoreWeave,
938e7da6,google/gemma-4-31b-it,coreweave,120,3,11,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
7d908507,google/gemma-4-31b-it,coreweave,120,3,12,False,False,True,True,false_alarm,2543,2,0,0.00025498,CoreWeave,
4017bb15,google/gemma-4-31b-it,coreweave,120,3,17,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
54d72f2e,google/gemma-4-31b-it,coreweave,120,3,14,False,False,True,True,false_alarm,2543,2,0,0.00025498,CoreWeave,
6a45e464,google/gemma-4-31b-it,coreweave,120,3,19,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
022c59bf,google/gemma-4-31b-it,coreweave,120,3,16,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
b722b530,google/gemma-4-31b-it,coreweave,120,3,18,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
00f5b278,google/gemma-4-31b-it,coreweave,120,3,13,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
b7049194,google/gemma-4-31b-it,coreweave,120,3,15,False,False,False,False,correct_rejection,2543,2,0,0.00025498,CoreWeave,
96dd7caa,google/gemma-4-31b-it,crusoe,40,3,0,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
46ec3d64,google/gemma-4-31b-it,crusoe,40,3,7,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
ab843088,google/gemma-4-31b-it,crusoe,40,3,1,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
9feb9a5b,google/gemma-4-31b-it,crusoe,40,3,2,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
0350c300,google/gemma-4-31b-it,crusoe,40,3,6,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
7df658af,google/gemma-4-31b-it,crusoe,40,3,5,True,True,False,False,miss,2541,2,0,0.00035654,Crusoe,
798dd392,google/gemma-4-31b-it,crusoe,40,3,4,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
fba5cd6c,google/gemma-4-31b-it,crusoe,40,3,10,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
3ee31796,google/gemma-4-31b-it,crusoe,40,3,9,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
55eb259c,google/gemma-4-31b-it,crusoe,40,3,11,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
149205a0,google/gemma-4-31b-it,crusoe,40,3,12,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
d36f8492,google/gemma-4-31b-it,crusoe,40,3,13,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
98095550,google/gemma-4-31b-it,crusoe,40,3,3,True,True,False,False,miss,2541,2,0,0.00035654,Crusoe,
6ce907ea,google/gemma-4-31b-it,crusoe,40,3,8,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
e480bd60,google/gemma-4-31b-it,crusoe,40,3,14,False,False,True,True,false_alarm,2541,2,0,0.00035654,Crusoe,
f1464163,google/gemma-4-31b-it,crusoe,40,3,15,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
04a2d450,google/gemma-4-31b-it,crusoe,40,3,16,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
474f77a8,google/gemma-4-31b-it,crusoe,40,3,19,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
d7c6c837,google/gemma-4-31b-it,crusoe,40,3,17,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
4fe6f3c3,google/gemma-4-31b-it,crusoe,40,3,18,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
dc95d688,google/gemma-4-31b-it,crusoe,80,3,7,True,True,False,False,miss,2541,2,0,0.00035654,Crusoe,
6ac38e68,google/gemma-4-31b-it,crusoe,80,3,8,True,True,False,False,miss,2541,2,0,0.00035654,Crusoe,
96677221,google/gemma-4-31b-it,crusoe,80,3,9,True,True,False,False,miss,2541,2,0,0.00035654,Crusoe,
71d37401,google/gemma-4-31b-it,crusoe,80,3,4,True,True,True,True,hit,2541,2,0,0.00035654,Crusoe,
695913e9,google/gemma-4-31b-it,crusoe,80,3,11,False,False,False,False,correct_rejection,2541,2,0,0.00035654,Crusoe,
39350603,google/gemma-4-31b-it,crusoe,80,3,12,False,False,True,True,false_alarm,2541,2,0,0.00035654,Crusoe,
