n_frames,rep,model,response,prompt_tokens,completion_tokens,cost,error
38,1,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background from the upper left to the lower right before disappearing.,2359,23,0.00179225,
39,0,google/gemma-4-31b-it,A small white cross moves diagonally from the left to the right across a black background before disappearing.,2359,20,0.00178925,
39,1,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background from the center-left to the right edge before disappearing.,2359,23,0.00179225,
40,0,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background from the top-left to the bottom-right before disappearing.,2361,24,0.00024426,
40,1,google/gemma-4-31b-it,A small white cross moves diagonally from the upper left to the lower right across a black background before disappearing.,2359,22,0.00179125,
41,0,google/gemma-4-31b-it,A small white cross moves diagonally across a black background from the top left to the bottom right before disappearing.,2359,22,0.00179125,
41,1,google/gemma-4-31b-it,A small white cross moves diagonally across a black background from the top-left toward the bottom-right.,2359,22,0.00179125,
42,0,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background from the top-left to the bottom-right before disappearing.,2359,24,0.00179325,
42,1,google/gemma-4-31b-it,A small white plus sign moves diagonally from the top left to the bottom right against a black background before disappearing.,2359,23,0.00179225,
43,0,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background from the top left to the bottom right and then disappears.,2359,24,0.00179325,
43,1,google/gemma-4-31b-it,A small white plus sign moves diagonally from the upper left to the lower right across a black screen before disappearing.,2359,23,0.00179225,
44,0,google/gemma-4-31b-it,A small white plus sign moves across a black screen from left to right.,2359,16,0.00178525,
44,1,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background.,2359,13,0.00178225,
45,0,google/gemma-4-31b-it,A small white cross moves horizontally across a black background from left to right.,2359,16,0.00178525,
45,1,google/gemma-4-31b-it,A small white plus sign moves diagonally from the top left to the bottom right across a black background.,2359,21,0.00179025,
46,0,google/gemma-4-31b-it,A small white cross moves across a black background from left to right before disappearing.,2359,17,0.00178625,
46,1,google/gemma-4-31b-it,A white plus sign moves diagonally from the top left to the bottom right against a black background.,2359,20,0.00178925,
47,0,google/gemma-4-31b-it,A white cross moves diagonally across a black screen from the left center to the right edge before disappearing.,2361,21,0.00024324,
47,1,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background from the upper left to the lower right.,2359,20,0.00178925,
48,0,google/gemma-4-31b-it,A small white plus sign moves diagonally from the top left to the bottom right across a black background.,2359,21,0.00179025,
48,1,google/gemma-4-31b-it,A white plus sign moves diagonally across a black screen from the upper left to the bottom right before disappearing.,2361,22,0.00024358,
49,0,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background and then disappears.,2359,16,0.00178525,
49,1,google/gemma-4-31b-it,A small white plus sign moves diagonally across a black background and then disappears.,2359,16,0.00178525,
50,0,google/gemma-4-31b-it,A white plus sign moves diagonally across a black background from the top left to the bottom right.,2359,20,0.00178925,
50,1,google/gemma-4-31b-it,A small white cross moves across a black screen from left to right before disappearing.,2359,17,0.00178625,
